Time (s),Value 1,Value 2,Value 3,Value 4
15.420665740966797,2.60,10.57,15.00,64.70
15.435664653778076,2.60,10.57,15.00,60.79
15.451676368713379,2.60,10.57,15.00,60.79
15.468666076660156,2.60,10.57,15.00,60.79
15.482662439346313,2.60,10.57,15.00,60.79
15.497664213180542,2.60,10.57,15.00,60.79
15.513662815093994,2.60,10.57,15.00,60.79
15.529664993286133,2.60,10.57,15.00,60.79
15.545665264129639,2.60,10.57,15.00,60.79
15.562665700912476,2.60,10.57,15.00,60.79
15.57666540145874,2.60,10.57,15.00,61.23
15.592666387557983,2.60,10.57,15.00,61.23
15.607662439346313,2.60,10.57,15.00,61.23
15.622665882110596,2.60,10.57,15.00,61.23
15.638662576675415,2.60,10.57,15.00,61.23
15.654663562774658,2.60,10.57,15.00,61.23
15.670663595199585,2.60,10.57,15.00,61.23
15.68566107749939,2.60,10.57,15.00,61.23
15.700661659240723,2.60,10.57,15.00,61.23
15.71666407585144,2.60,10.57,15.00,61.67
15.730662107467651,2.60,10.57,15.00,61.67
15.747663497924805,2.60,10.57,15.00,61.67
15.76366639137268,2.60,10.57,15.00,61.67
15.77866506576538,2.60,10.57,15.00,61.67
15.795666456222534,2.60,10.57,15.00,61.67
15.810664176940918,2.60,10.57,15.00,61.67
15.825664520263672,2.60,10.57,15.00,61.67
15.84066104888916,2.60,10.57,15.00,61.67
15.856661796569824,2.60,10.57,15.00,62.11
15.872662544250488,2.60,10.57,15.00,62.11
15.887661933898926,2.60,10.57,15.00,62.11
15.903661012649536,2.60,10.57,15.00,62.11
15.918661832809448,2.60,10.57,15.00,62.11
15.934661149978638,2.60,10.57,15.00,62.11
15.94966197013855,2.60,10.57,15.00,62.11
15.965663194656372,2.60,10.57,15.00,62.11
15.980660915374756,2.60,10.57,15.00,62.11
15.99566102027893,2.60,10.57,15.00,62.56
16.01266360282898,2.60,10.57,15.00,62.56
16.02766180038452,2.60,10.57,15.00,62.56
16.042661666870117,2.60,10.57,15.00,62.56
16.05766248703003,1.79,9.70,15.00,62.56
16.07366108894348,1.79,9.70,15.00,62.56
16.089661359786987,1.79,9.70,15.00,62.56
16.105661869049072,1.79,9.70,15.00,62.56
16.12166118621826,1.79,9.70,15.00,62.56
16.13766121864319,1.79,9.70,15.00,67.47
16.152661561965942,2.64,10.61,15.00,67.47
16.169669151306152,2.64,10.61,15.00,67.47
16.18466281890869,2.64,10.61,15.00,67.47
16.199665069580078,2.64,10.61,15.00,67.47
16.215663194656372,2.64,10.61,15.00,67.47
16.23066473007202,2.64,10.61,15.00,67.47
16.24666476249695,2.64,10.61,15.00,67.47
16.262662410736084,2.64,10.61,15.00,67.47
16.277663707733154,2.64,10.61,15.00,63.35
16.29266119003296,2.64,10.61,15.00,63.35
16.308661699295044,2.64,10.61,15.00,63.35
16.32466149330139,2.64,10.61,15.00,63.35
